Frame,GridMask...,img_backbone...,img_neck...,pts_bbox_head.get_bev_features,pts_bbox_head.get_detections...,UniADTrack.simple_test_track,PansegformerHead.forward_test,MotionHead.forward_test,OccHead.forward_test,PlanningHeadSingleMode.forward_test,velo_update...
176,7727.0,17856.0,8023.0,29467.0,8382.0,108312.0,29298.0,19812.0,8820.0,18015.0,8393.0
177,9779.0,19738.0,9439.0,18705.0,8896.0,94288.0,18944.0,18853.0,19136.0,28953.0,8250.0
178,9053.0,9054.0,8588.0,19349.0,19330.0,94341.0,18152.0,18969.0,18975.0,8196.0,9078.0
179,7526.0,9366.0,19028.0,9870.0,8133.0,81768.0,29315.0,9463.0,19546.0,8859.0,8552.0
180,9027.0,18897.0,9625.0,19083.0,9146.0,93287.0,17703.0,19235.0,19481.0,9435.0,9239.0
181,8915.0,19006.0,8937.0,8701.0,18576.0,91871.0,18361.0,19273.0,8974.0,9128.0,9371.0
182,9200.0,8849.0,18251.0,18065.0,9080.0,111775.0,17500.0,18854.0,19434.0,17817.0,9813.0
183,9122.0,18761.0,8448.0,18450.0,8752.0,90165.0,28582.0,19812.0,19712.0,8929.0,8084.0
184,8461.0,8472.0,8741.0,18317.0,19671.0,90864.0,19204.0,19486.0,9164.0,8801.0,8647.0
185,9084.0,18124.0,9194.0,18795.0,18125.0,101529.0,28142.0,18646.0,10038.0,19031.0,9009.0
186,7832.0,8903.0,8216.0,19143.0,18286.0,90041.0,29930.0,9169.0,18621.0,9375.0,8480.0
187,9396.0,9306.0,8966.0,18470.0,8037.0,92302.0,28583.0,9241.0,18752.0,8464.0,10005.0
188,9544.0,18821.0,8596.0,17737.0,16631.0,108646.0,18844.0,19067.0,8388.0,8187.0,7878.0
189,9261.0,18814.0,9469.0,18938.0,17445.0,111215.0,30005.0,8180.0,18616.0,9577.0,9279.0
190,8976.0,18606.0,9438.0,19425.0,19668.0,103656.0,17707.0,19486.0,9241.0,8863.0,8873.0
191,8164.0,9662.0,8779.0,18983.0,17997.0,102401.0,18700.0,18512.0,9774.0,9254.0,8497.0
